;;;;;;;;;;;;;x
DIM_IDG_british_intervention_desc;The British have decided to intervene in the dispute between the Sultan of Indragiri and the Sultan of Lingga. By doing so the British have violated the treaties they have with us, specifically the Sumatra Treaty of 1824. In this treaty the British have relinquished all rights to the Sumatra, and promised to refrain from establishing new contracts with local Heads. This situation requires immediate action.;;;;;;;;;;;;;x
DIM_IDG_sumatra_treaty_title;Unrest in Indragiri - Dutch objection!;;;;;;;;;;;;;x
DIM_IDG_sumatra_treaty_desc;The Dutch have responded to our intervention in Indragiri. Under the Treaty of 1824 we relinquished all our territorial rights to Sumatra. The Dutch have taken our actions to support the Sultan to be a violation of this treaty, and strongly ask us to respect the treaty. However we are now invested in the situation: Backing down will surely lead to a loss of face. What do we do?;;;;;;;;;;;;;x
DIM_IDG_ENG_back_down_title;Unrest in Indragiri - The British back down!;;;;;;;;;;;;;x
DIM_IDG_ENG_back_down_desc;The British have decided to respect our treaties with them and have backed down. They will no longer support the Sultan of Indragiri in his quest for more autonomy from the Sultan of Lingga.;;;;;;;;;;;;;x
DIM_IDG_ENG_no_back_down_title;Unrest in Indragiri - The British don't back down!;;;;;;;;;;;;;x
DIM_IDG_ENG_no_back_down_desc;The British have ignored our protests, and are continuing to supporting the Sultan of Indragiri in his quest for independence. Is there anything we can do at this moment?;;;;;;;;;;;;;x
DIM_IDG_no_go_title;No British Support!;;;;;;;;;;;;;x
DIM_IDG_no_go_desc;Under Dutch pressure, the British have decided to not support us against the Sultan of Lingga. They value their treaties with the Dutch more than our freedom. Who can we turn to now? Our great neighbour to the north, Siak? Our old master, the Sultan of Johor? Or perhaps we'll find salvation with the rich Atjehnese?;;;;;;;;;;;;;x
DIM_ENG_east_indies_trade_title;The East Indies Trade;;;;;;;;;;;;;x
DIM_ENG_east_indies_trade_desc;We've been approach by merchants from Singapore and other Strait Settlements worried about their trade within the East Indies. The East Indies trade is of great importance to the Straits Settlements: currently 1/5th of their trade is with the East Indies, and the ratio of British to Dutch imports on Java stands at 6:7. Under the Treaty of 1824 we are regarded as most favourable nation, and are granted equal trade rights in the archipelago.\nThe merchants hold Dutch trade policy to be not based on supremacy through competition, but on occupation, cession and treaty with native princes. As such they are always weary of Dutch expansion. Recent treaties between the Dutch and Sumatran princes have imposed new tariffs and monopolies on the trade, threatening Singapore's trade. The merchants are requesting us to intervene.;;;;;;;;;;;;;x
DIM_ENG_british_protest_title;The British East Indies Trade;;;;;;;;;;;;;x
DIM_ENG_british_protest_desc;We've received a communique from London containing an official protest to our trade policy in the East Indies in general, and Sumatra in particular. Spurred on by traders from Singapore, who are currently dependent on trade with our colonies, London holds our treaties with the sultans of Sumatra to violate the Treaty of 1824. Under the treaty the British are granted status of most favoured nation, and we have extended extensive trade rights to them. London holds that the tariffs and monopolies we imposed in our recent treaties to violate this principle. How shall we respond to their protest?;;;;;;;;;;;;;x
DIM_ENG_dutch_withdraw_from_siak_desc;The Dutch have responded to our protest by withdrawing their influence from Siak!;;;;;;;;;;;;;x
DIM_NET_no_british_protest_title;The British East Indies Trade;;;;;;;;;;;;;x
DIM_NET_no_british_protest_desc;Our agents in London report that a delegation from Singapore has petition London to protest our policies in the Indies. Currently our treaties grant the United Kingdom the position of most favourable nation in regards to trade in the East Indies. Apparently, Singapore considers our recent policies on Sumatra is be in violation of and a threat to their trade. And this trade is of vital importance to the economy of Singapore. Currently 1/5th of their trade is with the Indies, and the ratio of British to our imports on Java is 6:7.\nHowever, it would seem London values our good relations more that the narrow self-interest of the Singapore traders, and have decided not to pursue the matter.;;;;;;;;;;;;;x
DIM_ENG_dutch_ignore_protests_desc;We have received a very long winding and thoroughly legalistic reply to our protests against their actions on Sumatra. But what it comes down to, is that they have ignored our protests.;;;;;;;;;;;;;x
DIM_NET_new_bungai_treaty_title;The Bungaij Treaty;;;;;;;;;;;;;x
DIM_NET_new_bungai_treaty_desc;Our relations with the kings of Boni are based on a treaty signed by the VOC in 1667. After defeating the Makassar Empire, the VOC elevated the Boni kingdom to foremost kingdom on Celebes. Not interested in developing the lands, or even the trade, in as much as the VOC was interested in keeping others out. They never obstructed the Boni them from extending their suzerainty over the other Bunginese states, as long as it submitted to the VOC monopoly. This has left the economic potential of the region untouched, and over the past few years we've been trying to remedy this situation. The lesser Bunginese states are very enthusiastic, but the Boni kings have been resistant to any proposal limiting their power. Even to the point of battle. Perhaps it is time to consider our options?;;;;;;;;;;;;;x
DIM_NET_new_bungai_treaty_event_desc;We have the following options in regard to the Boni Kingdom:\n-Demand full compliance. [Boni releases all vassals, and all provinces get an economic boost.]\n-Offer a compromise. [Boni releases Sidenreng, and all provinces get a small economic boost.]\n-Confirm the original treaty.[Boni annexes all Bunginese minors and becomes a vassal.]\n-Our priorities lie elsewhere. [Sell Makassar to Boni.]\nNote effects are not immediate, and Boni gets to decided on the issue as well.;;;;;;;;;;;;;x
DIM_BON_new_bungai_treaty_full_desc;Ever since we've helped the Dutch defeat the Makassar empire, our relations have been friendly. In exchange for surrendering control of our external trade, they have elevated us to foremost Bunginese kingdom. However, recently the Dutch have been trying to modify our relationship, and have been trying to remove our foremost status. Over the years we have resisted these attempts, even to the point of battle.\nThe Dutch have approached us again, and demand we end our suzerainty over all Bunginese kingdoms.;;;;;;;;;;;;;x
DIM_BON_new_bungai_treaty_compromise_desc;Ever since we've helped the Dutch defeat the Makassar empire, our relations have been friendly. In exchange for surrendering control of our external trade, they have elevated us to foremost Bunginese kingdom. However, recently the Dutch have been trying to modify our relationship, and have been trying to remove our foremost status. Over the years we have resisted these attempts, even to the point of battle.\nThe Dutch have made a new proposal. They are willing to compromise, and willing to accept our suzerainty over part of the Bunginese kingdoms..;;;;;;;;;;;;;x
DIM_BON_new_bungai_treaty_original_desc;Ever since we've helped the Dutch defeat the Makassar empire, our relations have been friendly. In exchange for surrendering control of our external trade, they have elevated us to foremost Bunginese kingdom. However, recently the Dutch have been trying to modify our relationship, and have been trying to remove our foremost status. Over the years we have resisted these attempts, even to the point of battle.\nThe Dutch have made a new proposal. They are willing to reinstate our original treaty with them.;;;;;;;;;;;;;x
DIM_BON_new_bungai_treaty_makassar_desc;Ever since we've helped the Dutch defeat the Makassar empire, our relations have been friendly. In exchange for surrendering control of our external trade, they have elevated us to foremost Bunginese kingdom. However, recently the Dutch have been trying to modify our relationship, and have been trying to remove our foremost status. Over the years we have resisted these attempts, even to the point of battle.\nThe Dutch have made a new proposal. They have determined that their priorities lie elsewhere, and have offered to seceded Makassar to us.;;;;;;;;;;;;;x
DIM_NET_new_bungai_treaty_accepted_desc;The Boni kings have accepted our proposal.;;;;;;;;;;;;;x
DIM_NET_new_bungai_treaty_rejected_desc;The Boni kings have rejected our proposal. How shall we proceed?;;;;;;;;;;;;;x
DIM_zilveren_verbond_title;The Silver Alliance;;;;;;;;;;;;;x
DIM_zilveren_verbond_desc;Long have we been suffering under the domination of the Dutch. It is time to form alliances and evict the Dutch from Celebes.;;;;;;;;;;;;;x
DIM_NET_zilveren_verbond_desc;Disturbing reports are reaching the colonial government from Makassar. When the old king of Boni died his successor, his widow, professed to desire warmer relations, yet her recent actions speak differently. She has ordered all trading ships to fly our flag upside down, she is inciting the local heads to revolt against us, and has already succeeded in turning some inlander auxiliaries to revolt. But, what is worse, she has resurrected the old 'Zilverenverbond' (silver alliance) of the Bunginese kingdoms. It is all but certain she is preparing for war against us.;;;;;;;;;;;;;x
DIM_BAJ_in_sphere_title;A Dutch Protectorate?;;;;;;;;;;;;;x
DIM_BAJ_in_sphere_desc;Placeholder event.;;;;;;;;;;;;;x
DIM_BAJ_in_sphere_NET_title;A Protectorate over Bandjar!;;;;;;;;;;;;;x
DIM_BAJ_in_sphere_NET_desc;We've held close relations with the sultan of Bandjar ever since we protected his kingdom from a Bunginese attack. Now the old sultan has died and a new one is ready to ascend to the throne, it is a good opportunity to intensify our control over the sultanate.;;;;;;;;;;;;;x
DIM_BAJ_redrawn_borders_NET_title;Bandjar Border Treaty;;;;;;;;;;;;;x
DIM_BAJ_redrawn_borders_NET_desc;Under our treaty of protection with the sultanate of Bandjar, the sultan seceded various regions to our control. However a true delineation of the borders never took place, and various disputes remain over who owns what. We should settle on a definite border, to our advantage of course.;;;;;;;;;;;;;x
DIM_BAJ_redrawn_borders_title;Bandjar Border Treaty;;;;;;;;;;;;;x
DIM_BAJ_redrawn_borders_desc;Under our treaty of protection with the Dutch we've seceded various region to their control. However, the exact borders of these regions have never been fully marked, leading to tensions and various disputes. The Dutch Governor-General has now decided on a better delineation of these borders, to their great advantage.;;;;;;;;;;;;;x
DIM_BAJ_oranje_nassau_title;Mining Concession;;;;;;;;;;;;;x
DIM_BAJ_oranje_nassau_desc;A Dutch geological expedition sent to our lands has discovered extensive coal reserves near Bandjarmasim. On further examination these reserves have proven to be economically viable. Batavia has now approached us with the request for a concession to operate the mine.;;;;;;;;;;;;;x
DIM_BAJ_heir_dies_title;Death of prince Abdurrahaman;;;;;;;;;;;;;x
DIM_BAJ_heir_dies_desc;Heir to the throne and our own son has died today! As it came completely unexpectedly, the new succession has not been arranged yet. The candidates are:\n-Prince Hidayatullah, a highly moral man and devout Muslim loved by the people and clergy alike.\n-Prince Tamjidillah, a great lover of everything Dutch and western. However also of Chinese descent and a drunkard, and therefore disliked by aristocrats and clergy.\n-Prince Prabu Anom, of foreign descent and hard to predict. He is subject to bouts of extravagance.\nHowever, we are bound by treaty to out forth all candidates for succession to the Dutch, and they will have to confirm the candidate.;;;;;;;;;;;;;x
DIM_BAJ_heir_dies_NET_title;Bandjar Heir dies;;;;;;;;;;;;;x
DIM_BAJ_heir_dies_NET_desc;Prince Abdurrahaman, heir-apparent to the Sultanate of Bandjar, has recently died. As our treaty of protection with the sultan requires our consent in all matters of succession, we should use this opportunity to our advantage.\nThe sultan has proposed his grandson prince Hidayatullah as his successor, the most popular of all candidates. He is a devout Muslim or great moral character. His strict interpretation of the Islam makes him very popular among the general populace and the clergy. Another candidate is Prince Tamjidillah, eldest son of prince Abdurrahaman. He is enamoured by the western style of life, especially alcohol, and shows a preference for our rule. However his lax interpretation of Islam makes him unpopular among the clergy, and his Chinese mother upsets the aristocrats. Last candidate is prince Praby Anom, stemming from an influential faction at court. He is however difficult to predict, and he is subject to bouts of extravagance.;;;;;;;;;;;;;x
DIM_BAJ_sultan_dies_title;Sultan Adam dies!;;;;;;;;;;;;;x
DIM_BAJ_sultan_dies_desc;Sultan Adam fell seriously ill yesterday, and we are afraid he died due to this today. He had been of ill health for some time now, and has spent the last few months putting his affairs in order.;;;;;;;;;;;;;x
DIM_BAJ_sultan_dies_NET_title;Sultan of Bandjar dies!;;;;;;;;;;;;;x
DIM_BAJ_sultan_dies_NET_desc;Sultan Adam of Bandjar died recently due to illness. He had been of ill health for some time now, and has spent the last few months putting his affairs in order.\nIt is time to confirm our candidate for succession.;;;;;;;;;;;;;x
DIM_BAJ_unrest_title;Unrest in Bandjar;;;;;;;;;;;;;x
DIM_BAJ_unrest_desc;The Dutch intervention in the succession has long been unpopular with the populace. The unrest is mainly focussed at us. However, a group of Imams and their followers are preparing to attacked the Dutch mines and posts. Perhaps it would be wise to direct the anger outwards to the Dutch?;;;;;;;;;;;;;x
DIM_BAJ_unrest_NET_title;Unrest in Bandjar;;;;;;;;;;;;;x
DIM_BAJ_unrest_NET_desc;Our choice as successor in the Sultanate of Bandjar has long been unpopular with the populace. While the unrest was originally directed against the new sultan, the anger has now turned against our presence there. A group of Imams and their followers have attacked our mines in Bandjar, and killed all Europeans there. Afterwards the group moved on to one of our posts, and has now laid siege to it.;;;;;;;;;;;;;x
DIM_BAJ_attack_post_NET_title;Bandjarese Attack on our Post;;;;;;;;;;;;;x
DIM_BAJ_attack_post_NET_desc;Bandjarese revolters have attacked on of our salt warehouse near Bandjarmasim. Salt is an important government monopoly, and this clearly an attack on our authority. So far the post has held: the first attack happily coincided with a weapons inspection meaning all troops were prepared. However a large force of Dayaks were spotted moving towards the fort. It is therefore uncertain if the post can hold out any longer.;;;;;;;;;;;;;x
DIM_BAJ_tabanio_NET_title;Unrest in Bandjar;;;;;;;;;;;;;x
DIM_BAJ_tabanio_NET_desc;Our natives auxiliaries at the fort at Tabanio have revolted and sided with the Bandjarese rebels. The fort, which we abandoned to native auxiliaries a few years ago, controls a large area of land, and has to be retaken.;;;;;;;;;;;;;x
DIM_BAJ_onrust_NET_title;The steamer 'Onrust';;;;;;;;;;;;;x
DIM_BAJ_onrust_NET_desc;The steam 'Onrust' was recently sent up the Barito river to asses the rebellious tendencies there, and bring the local Heads to our cause. The delegation was received most graciously, although this would appear to have been a ruse de guerre. After receiving the delegation the local Head and his entourage quickly attacked them with klewangs (a local type of sword). Alert by the commotion caused by this, the unrust was quickly swamped by prauws (piragua) who embarked hundreds of rebels on the ship. All those aboard were slaughtered: even those who jumped overboard and fled into the jungle were hunted down and slaughtered. Only the negotiator Hajji Mohamed Taib survived the affair, and he has reported the events to us.;;;;;;;;;;;;;x
DIM_BAJ_province_gained_title;Province Conquered;;;;;;;;;;;;;x
DIM_BAJ_province_gained_desc;Placeholder;;;;;;;;;;;;;x
DIM_BAJ_victory_NET_title;Control over Bandjar;;;;;;;;;;;;;x
DIM_BAJ_victory_NET_desc;Over the past few months we've established ever more posts in Bandjar and gained control over most of the land. It would appear this has broken the resistance of the Bandjarese. Only one last nest of resistance in the mountains remained, which was quickly broken. It is time to bring the warring factions to the table.;;;;;;;;;;;;;x
DIM_pil_bandoeng_title;The Pill Bandoeng;;;;;;;;;;;;;x
DIM_pil_bandoeng_desc;Malaria is an ever present danger in the tropical regions of the world. There are few effective treatments for the disease, and those which do exist are expensive. Our control over the production of Quinine from the Cinchona tree has given our citizens abundant and relatively cheap access to the medicine. However, the inlander population has been unable to profit from this, and continues to be ravaged by the disease. A bill has been proposed in parliament to fund the construction of a large Quinine factory on Java. This factory will be specifically to supply the natives with this important medicine, and extend the benefits of Dutch civilisation to them.;;;;;;;;;;;;;x
DIM_tabacco_betuwe_title;Tobacco Cultures in the Netherlands;;;;;;;;;;;;;x
DIM_tabacco_betuwe_desc;The countryside in Gelderland and southern Utrecht has a long an proud tradition of tobacco growing, dating back to the 1620s. The industry has declined somewhat from its height in the 18th century, yet remains an important economic sector to this day. Over the past decades it has even shown a sort of resurgence. However the industry is threatened by imports from the colonies. Not only do the rich alluvial plains of Sumatra provide better soil and climate, the labour situation gives the colonies a distinct advantage as well.\nThe future of the tobacco cultivation will have be decided in the near future, and the issue has become a major electoral issue in the region.;;;;;;;;;;;;;x
DIM_stovia_title;The School tot Opleiding van Inlandsche Artsen;;;;;;;;;;;;;x
DIM_stovia_desc;We have always kept medical professions in the Indies a strictly western affair. There have been hospitals and doctors for inlanders, but never any inlander doctors and physicians. This has obviously had a negative effect on the access to modern medical care for inlanders. Most are now surrendered to the whims of the dukuns, and the magic and superstition they perpetrate. To combat this, and improve the plight of our colonial subjects, it has been suggested we start training inlanders in the medical profession.\n\n[A second inlander medical, the Nederlandsch-Indische Artsen School or N.I.A.S., would later be founded in Soerabaja.];;;;;;;;;;;;;x
DIM_maatschappij_javaan_title;Maatschappij tot Nut van den Javaan;;;;;;;;;;;;;x
DIM_maatschappij_javaan_desc;A new 'Society to the Benefit of the Javanese' has been founded with to combat all injustice against Javanese, no matter the source. The society considers it a great sin that, in our name, Javanese should be exploited. Being the foremost Christian nation under God, it should fall to us to uplift the inlanders! Perhaps under our guidance can the Javanese can do away with their superstitions and join the ranks of civilised peoples. The society has started to raise money to fund (Christian) schools in the East.\nThe paternalistic nature of the society, however, has not fallen well with more liberal elements of our society. Multatuli, perhaps the foremost 'friend of the Javanese,' has published a damning commentary of their work: 'He who does indeed value Civilisation does not ridicule her by spreading more or less illustrated school books, prints and atlases to those who he systematically exploits, abuses and murders.' ;;;;;;;;;;;;;x
DIM_private_plantation_title;Plantations Flourish in $PROVINCENAME$;;;;;;;;;;;;;x
DIM_private_plantation_desc;The Agrarische Wet has opened up the East to private capital. The success of companies such as the Deli Maatschappij or Malabar Plantation has inspired a whole generation to set of and find their fortunes here. The plantations in $PROVINCENAME$ have flourished under the inflow of talent and capital, and while perhaps not surpassing their idiols, they have had a significant impact on the local and national economy.;;;;;;;;;;;;;x
DIM_de_cock_title;Dominee de Cock;;;;;;;;;;;;;x
DIM_de_cock_desc;Influenced by the Enlightenment the Nederduits Gereformeerde Kerk (Dutch Reformed Church) has been evolving towards a more liberal and rational interpretation of the bible. A development loved by some, and loathed by others. The countryside in particular remains a stronghold of the more orthodox teachings. Those ministers preaching, against official doctrine, a more orthodox interpretation of the bible are sure to find a flock there.\nA young minister by the name of de Cock has started baptising believers in accordance with a more orthodox interpretation of the bible, and people have been flocking to him. This is causing some friction with, and resentment of, other ministers in the region following the official doctrine. They have removed de Cock from the official register, and forbidden him from preaching. He has now travelled to The Hague to plead his case, and asks for the government to help him be reinstated.;;;;;;;;;;;;;x
DIM_afscheiding_1834_title;The Secession of $YEAR$;;;;;;;;;;;;;x
DIM_afscheiding_1834_desc;Tensions have been running high of late within the Nederduits Gereformeerde Kerk (Dutch Reformed Church). Under the ideals of enlightenment the church has started to follow a more liberal and rational interpretation of the Bible. This has let to some members turning away from the establishment and look for more orthodox ministers. These apostates have now come together and organised their own church, or rather a replacement church. They claim that they, and only they, are the tre followers of Calvin, and only they can be called the true Nederduits Gereformeerde Kerk. All those who don't follow them are heretics in their eyes. Unsurprisingly, this has led to some friction, and the government now has to take a stance on the issue.;;;;;;;;;;;;;x
DIM_afscheiding_1834_end_prosecution_title;Prosecution of the Secessionists;;;;;;;;;;;;;x
DIM_afscheiding_1834_end_prosecution_desc;Some years ago a schism happened in the Dutch Reformed Church, with the more orthodox part seceding to form their own congregation. Spurred on by those following the official (liberal) doctrine, we have taken extreme measures to try and 'curb the evil.' The leader of the seccessionist, dominee de Cock, has been imprisoned, and we have dispersed every sermon we could, fined those in attendance and billeted soldiers in their homes. All to no avail, as the movement is still going strong. Perhaps it is time to end this prosecution, and accept they are going their own way.;;;;;;;;;;;;;x
DIM_raden_saleh_title;Raden Saleh;;;;;;;;;;;;;x
DIM_COB_raden_saleh_desc;Raden Saleh, a Javanese painter of some renown, is visiting your court. This 'Eastern Prince' is probably the first oriental to be educated in the modern European painting techniques. His intriguing background and not unremarkable skill have made him a much beloved court painter. And while he may be most famous for his portait work, he has shown remarkable skill in painting landscapes as well. Often depicting exotic scenes from his homeland, offering an insight into a world unknown to most Europeans. Rasen Saleh's arrival at court can only mean he is looking for our patronage!;;;;;;;;;;;;;x
DIM_NET_raden_saleh_desc;Raden Saleh is an Javanese painter has made quite a name for himself in the courts of Europe.  This 'Eastern Prince,' son of a noble family, has studied the modern European painting techniques under our patronage, and is possibly the first oriental to do so. He has shown particular aptitude towards painting portraits, and many a ruler has been immortalised by his work. His landscapes too are a sight to behold. Inspired by his native land, the paintings show exquisite detail in the wild animals he depicts. But perhaps his most important work is his depiction of the capture of Prince Diponegoro at the Java war, provocatively depicting a noble prince Diponegoro and slightly 'unbalanced' colonial officers.;;;;;;;;;;;;;x
DIM_NET_soeploodsoproer_title;The Soeploodsoproer;;;;;;;;;;;;;x
DIM_NET_soeploodsoproer_desc;A bill preventing landlords from passing on the property tax to their renters, thus limiting the abuses of slumlords, has let to quite some commotion in Amsterdam. The landlords, feeling deprived of their rightful income, have rioted and torched a soup kitchen. The soup kitchen has been temporarily used to store property of not paying landlords. Apparently they rather saw their own property destroyed rather than paying the tax.\n\nPlenty blame to go around as to how this could have happened. The guards, 60 militiamen, had taken refuge inside due to rain and were caught by surprise, the mayor was nowhere to be seen to seen to take control of the situation, and the local garrison commander, well, he was on holiday for the weekend, leaving no one to direct the garrison to intervene.;;;;;;;;;;;;;x
DIM_NET_a_shipload_of_potatos_title;A Shipload Of Potato's;;;;;;;;;;;;;x
DIM_NET_a_shipload_of_potatos_desc;As the mobilisation carries on, the people are growing ever less content. Circumstance has forced the institution of rationing, but this has not been able to prevent food shortages from arising. It is said even potato's have gotten scarce. Though not for the army. There was a ship loaded with potato's docked in $CAPITAL$. There was, not is, because the riffraff got jealous, and, abandoning all dignity, plundered our valuable military supplies. And, while they were at it, the rest of the city as well. Do these people not understand the necessities of war?;;;;;;;;;;;;;x
DIM_NHM_title;A New Trading Company;;;;;;;;;;;;;x
DIM_NHM_desc;Long has our nation known a great trading spirit. From the 'Moedernegotie' (the Baltic grain trade), to the Spice Trade in the East Indies, to the slave and sugar trade in the West Indies, to Dejima and the trade with Japan, Dutch merchants have sailed the 7 seas and dominated the trade wherever they went. However our great trading tradition was disrupted when then VOC went out of business, and further wiped out by the French take over and their 'Continental System.' Trade has only been slow to recover since the French withdraw, and the English have started to emerge as the new great trading power of the age. Even in our own colonies! To remedy this situation and return our nation to the foremost trading nations, a proposal to fund a new trading company has been put forward. A company to finance import and export, maintain and engaging in new trade relations and find new markets: de Nederlandsche Handel-Maatschappij. The real question is, what markets will it focus on?;;;;;;;;;;;;;x
DIM_NHM_overstretched_desc;The worldwide focus we have given the Nederlandsche Handel-Maatschappij has started to wear it down. The company is under-capitalised to preform in a world wide function, and furthermore continuous losses due to the world wide focus have brought the company to the verge of bankruptcy. As state we can of course absorb all losses of the company and recapitalise it, or try to refocus it on more viable markets.;;;;;;;;;;;;;x
DIM_NHM_industrie_title;The Nederlandsche Handel-Maatschappij;;;;;;;;;;;;;x
DIM_NHM_industrie_desc;The secession of Belgium from our country has had severe economic effects. The industrial motor of the country lies in what is now Belgium, and so do the capital investments associated with them. The what are now Belgian provinces have always been the preferred destination for capital investment, and what are left of our lands are now severely under-capitalised. However, partly due to the Cultuurstelsel, the Nederlandsche Handel-Maatschappij has shown a great surplus over the past few years. It has been suggested we should reinvest these profits into the economy, the textile trade in the east of the country in particularly. However we can also skim the profits into the treasury.;;;;;;;;;;;;;x
DIM_kleine_compagnie_title;The 'Kleine Compagnie';;;;;;;;;;;;;x
DIM_kleine_compagnie_desc;The Nederlandsche Handel-Maatschappij, founded to reinvigorate Dutch trade, has had a major influence on the trade with the East Indies. Due to its effectiveness in trading the goods produced under the Cultuurstelsel, the company has managed to reinvigorate our economy, and our that of our colony. It is so effective that, in reverence of the older and greater Vereenigde Oostindische Compagnie, the inlanders have started refering to the company as the 'Kleine Compagnie' (the little company).;;;;;;;;;;;;;x
DIM_NHM_banking_title;Refocus the Nederlandsche Handel-Maatschappij;;;;;;;;;;;;;x
DIM_NHM_banking_desc;The Nederlandsche Handel-Maatschappij has turned out to be an incredibly successful trading company. So much so that the company has been unable to reinvest all earnings back into the trading business, and has grown to be ever more invested in the financing business. By now the companies trading business has become a minor side show relative to its banking activities. As major shareholder, the government has been asked to pave the way for the company to expand even further into the banking business.;;;;;;;;;;;;;x
DIM_NHM_collapse_title;Collapse of the Nederlandsche Handel-Maatschappij;;;;;;;;;;;;;x
DIM_NHM_collapse_desc;The Nederlandsche Handel-Maatschappij has become as long way from a rather simple majority government owned trading company to the banking juggernaut it has become today. Run from their office in Amsterdam, the Nederlandsche Handel-Maatschappij runs a financial empire unrivalled in the world. Unfortunately this has brought a sense of immortality and arrogance with it. Due to this the company has become over-invested in some markets and projects, which left it without a sufficient cash flow to cover its debt. While under normal circumstance this would be covered by the equity, the recent stock market crash has wiped away all equity of the company. Unable to cover its debts the company is now at the verge of bankruptcy and is threatening to take the whole country with it. An emergency session of cabinet has been convened, and the country eagerly awaits its decision regarding this matter.;;;;;;;;;;;;;x
DIM_sell_NHM_title;Sell stock in the Nederandsche Handel-Maatschappij;;;;;;;;;;;;;x
DIM_sell_NHM_desc;The Nederlandsche Handel-Maatschappij was founded on the orders of king William I to 'stimulate trade, shipping, shipyards, fishing, construction and agriculture.' However it quickly grew as a major trading company, and, from the profits of the trade, into a major banking house. Through the king the state still holds a substantial share of the company. With the recent expansion of the company into the banking business, the value of the our share has sky rocketed. If we are in desperate need of cash, we can sell our share of the company. However, it will result in less influence in the future of the company.;;;;;;;;;;;;;x
DIM_maatschappij_welstand_title;The Maatschappij tot Welstand;;;;;;;;;;;;;x
DIM_maatschappij_welstand_desc;Our country has always been split between a Protestant north and Catholic south. However with Catholics and Protestants living next to each other in a large part of the country, there are no line where the Protestant 'territory' 'ends' and the Catholic 'begins.' In these 'border regions' there is significant pressure of one group onto the other to convert or move away.\nTo make sure the number of Protestants remain stable in the more Catholic areas of the country, a new 'Society for the Enhancement of Prosperity' has been founded. This charitable society seeks to acquire real estate in Catholic regions, and intends to rent them out to Protestant farmers at subsides rates. The hope is to provide a decent living for Protestant farmers in these regions, preventing them from moving away and possibly attrack new protestant farmers, and thus prevent Catholic influence from creeping up northwards.;;;;;;;;;;;;;x
DIM_generale_maatschappij_title;The Generale Maatschappij;;;;;;;;;;;;;x
DIM_generale_maatschappij_desc;The French era did not do the economy any favours, and recovery from it is languishing. To kick-start the economy capital is needed for investment. However little is available, and even less is available for industrial development. An investment bank might offer a way to provide the capital needed for industrial development. It has been proposed to transfer some of the royal estates to the new bank, which, if sold or leveraged, will give the economy a much needed infusion of capital. The main question is, however, what the capital should flow to.;;;;;;;;;;;;;x
DIM_john_cockerill_title;John Cockerill;;;;;;;;;;;;;x
DIM_john_cockerill_desc;John Cockerill has emerged as one of the great industrialists of the era. His steel and machine factory near Liege is the first true industrial enterprise in Mainland Europe, and employs 3000 people round the clock working 16 steam engines. As a vertically integrated company, Cockerill also owns interests in the local iron and coal mines. Originally, such industry only existed in Britain, and any export of the technology strictly forbidden. It was John's father, William Cockerill, a successful machine builder in his own right, who memories relevant blueprints before setting of for the mainland. He used his knowledge and expertise to found a machine factory near Liege, which would later be handed over to his sons. His sons have now turned it into the company it is now.;;;;;;;;;;;;;x
DIM_john_cockerill_bust_title;The Demise of Cockerill;;;;;;;;;;;;;x
DIM_john_cockerill_bust_desc;The recent financial difficulties in our country is having a severe effect on industry. Even the great Cockerill is not immune to these events. His company has been severely over-borrowed, and with credit drying up and investors demanding their money back, the company is about to fail. ;;;;;;;;;;;;;x
DIM_PAP_concordaat_1827_title;Concordat with the Netherlands?;;;;;;;;;;;;;x
DIM_PAP_concordaat_1827_desc;The king of the Netherlands is actively working to limit our influence within the country. He follows the ideals of his great uncle Fredrick the Great regarding the creation of a unitary state, and will not tolerate foreign influence inside his realm. However, his recent policies have greatly upset the Catholic majority of his realm, and he might be open to a new treaty increasing our influence within to appease his populace.\n[Controlling Rome, either directly or indirectly, gives you access to this decision.];;;;;;;;;;;;;x
DIM_NET_concordaat_1827_title;The Concordat of 1827;;;;;;;;;;;;;x
DIM_NET_concordaat_1827_desc;The Pope has long been unhappy with our relation with the Church. Currently, these relations are dictated by a concordat signed by Napoleon in 1801. While that concordat has restored some of the rights of the pope (he can now dismiss bishops at will), his powers still remain limited: we reserved the exclusive right to nominate bishops. The greatest limit to his power, however, is the total ban on bishops in the northern Netherlands.\n In an unusual compromise, the Pope is willing to maintain our exclusive right to nominate bishops, if we restore the episcopal hierarchy to the northern Netherlands. Accepting the offer would go a long way to smoothing out matters with our Catholic subjects, but would also greatly offend our protestant subjects. They are fearful the Catholics will come to dominate the nations, and are already up in arms about the matter. Claiming the martyrs of the Eighty Year War will 'rise from the grave in anger.';;;;;;;;;;;;;x
DIM_PAP_concordaat_1827_positive_desc;The king of the Netherlands has decided to restore the Catholic faith to its rightful place in his kingdom, and has granted us the right to invest bishops in the whole of his realm!;;;;;;;;;;;;;x
DIM_PAP_concordaat_1827_negative_desc;The king of the Netherlands has decided to oppose the restoration of the Catholic faith in his realm.;;;;;;;;;;;;;x
DIM_PAP_concordaat_1827_middle_desc;The king of the Netherlands has agreed to the partial restoration of the Catholic faith in his realm. He has decided to allow the restoration of our bishops in the regions which show a clear Catholic majority, but not to those regions which show a clear Protestant majority. In effect this means we will now be able to appoint bishops to the cities of Roermond and Den Bosch.;;;;;;;;;;;;;x
